Test Article: Pier foundation
Mech. Interface: Al plate/ stud
Accelerometers: <e.g. BK 8340 S/N51828> | 
Acc. Location: <description>
Axis Convention: Z(Ch.0) vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Ambient and various
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo
Time zone: Hawaii
waveform	[0]
t0	5/15/2014  11:13:05.313500
delta t	0.001000

time	Y[0]
5/15/2014  11:13:05.313500	1.743656E-3
5/15/2014  11:13:05.314500	-1.131441E-3
5/15/2014  11:13:05.315500	-1.331596E-3
5/15/2014  11:13:05.316500	-2.372215E-4
5/15/2014  11:13:05.317500	3.975151E-3
5/15/2014  11:13:05.318500	-3.665965E-3
5/15/2014  11:13:05.319500	-3.175959E-4
5/15/2014  11:13:05.320500	8.985978E-4
5/15/2014  11:13:05.321500	3.394366E-3
5/15/2014  11:13:05.322500	-2.536822E-3
5/15/2014  11:13:05.323500	-2.836644E-3
5/15/2014  11:13:05.324500	4.689503E-3
5/15/2014  11:13:05.325500	1.324400E-4
5/15/2014  11:13:05.326500	-1.575451E-3
5/15/2014  11:13:05.327500	-2.604061E-3
5/15/2014  11:13:05.328500	4.741699E-3
5/15/2014  11:13:05.329500	-2.803003E-3
5/15/2014  11:13:05.330500	-3.399438E-3
5/15/2014  11:13:05.331500	1.924910E-3
5/15/2014  11:13:05.332500	1.961282E-3
5/15/2014  11:13:05.333500	-2.752844E-4
5/15/2014  11:13:05.334500	-3.771527E-3
5/15/2014  11:13:05.335500	5.432858E-3
5/15/2014  11:13:05.336500	-1.547402E-3
5/15/2014  11:13:05.337500	-7.307393E-4
5/15/2014  11:13:05.338500	-2.386781E-3
5/15/2014  11:13:05.339500	4.832564E-3
5/15/2014  11:13:05.340500	1.225254E-3
5/15/2014  11:13:05.341500	-4.293223E-3
5/15/2014  11:13:05.342500	2.190874E-3
5/15/2014  11:13:05.343500	1.885807E-4
5/15/2014  11:13:05.344500	2.175701E-3
5/15/2014  11:13:05.345500	-6.913151E-3
5/15/2014  11:13:05.346500	2.626170E-3
5/15/2014  11:13:05.347500	1.541983E-3
5/15/2014  11:13:05.348500	-3.747770E-4
5/15/2014  11:13:05.349500	-2.402605E-3
5/15/2014  11:13:05.350500	2.178866E-4
5/15/2014  11:13:05.351500	2.999777E-3
5/15/2014  11:13:05.352500	-3.815659E-3
5/15/2014  11:13:05.353500	2.719680E-3
5/15/2014  11:13:05.354500	-3.275668E-4
5/15/2014  11:13:05.355500	2.147739E-3
5/15/2014  11:13:05.356500	-2.395928E-3
5/15/2014  11:13:05.357500	5.842533E-4
5/15/2014  11:13:05.358500	4.084181E-4
5/15/2014  11:13:05.359500	-1.070922E-3
