Test Article: Telescope foundation
Mech. Interface: placed
Hammer: B&K 8207/51475 | Tip: orange | Mass: NO
Impact Direction:  Z
Accelerometers:  Ch8: PCB 393B31 SN35215 | Ch1: BK 8340 S/N 51828 | PCB 393B31 SN 32003 | PCB 393B31 SN 32001 | PCB 393B31 SN 32900 | Ch 5-7 PCB 111755 X,Y,Z
Acc. Location: Ch8/Ch1 co-located on floor near test article | Ch2,3,4 col-located enclosure foundation
Axis Convention:(Ch.8) X (horizontal) | (Ch.1) Z (vertical) | (Ch.2) horizontal | Ch 3. hourizontal | Ch 4 vertical | ch. 7 vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Pier floor forced excitation
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo, Hiroshi
Time zone: Hawaii
waveform	[0]	[1]	[2]	[3]	[4]	[5]
t0	5/16/2014  15:29:59.437600	5/16/2014  15:29:59.437600	5/16/2014  15:29:59.437600	5/16/2014  15:29:59.437600	5/16/2014  15:29:59.437600	5/16/2014  15:29:59.437600
delta t	1.000000E-4	1.000000E-4	1.000000E-4	1.000000E-4	1.000000E-4	1.000000E-4

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]
5/16/2014  15:29:59.437600	-5.168319E-4	2.267480E-3	6.055295E-3	1.121402E-3	7.572889E-3	-8.335114E-4
5/16/2014  15:29:59.437700	-6.265044E-4	1.635492E-3	5.741358E-3	2.048135E-3	5.937397E-3	-7.869005E-4
5/16/2014  15:29:59.437800	-4.921556E-4	1.051486E-3	4.970908E-3	3.201067E-3	3.807008E-3	-7.169843E-4
5/16/2014  15:29:59.437900	-6.552935E-4	4.290938E-4	3.957808E-3	4.079819E-3	1.619041E-3	-6.594062E-4
5/16/2014  15:29:59.438000	-4.894137E-4	-1.247525E-4	3.020108E-3	4.316986E-3	-1.727343E-4	-5.867481E-4
5/16/2014  15:29:59.438100	-7.142425E-4	-5.127192E-4	2.518356E-3	4.307389E-3	-1.320183E-3	-5.044937E-4
5/16/2014  15:29:59.438200	-4.606247E-4	-9.541512E-4	2.460778E-3	4.205942E-3	-1.849353E-3	-4.400611E-4
5/16/2014  15:29:59.438300	-7.677078E-4	-1.257122E-3	2.708912E-3	3.815234E-3	-1.993299E-3	-3.591776E-4
5/16/2014  15:29:59.438400	-3.879666E-4	-1.475096E-3	3.228486E-3	3.391623E-3	-1.730084E-3	-3.057122E-4
5/16/2014  15:29:59.438500	-8.527040E-4	-1.449049E-3	3.704190E-3	3.261387E-3	-1.019955E-3	-2.495050E-4
5/16/2014  15:29:59.438600	-3.317595E-4	-1.507998E-3	3.996193E-3	3.383398E-3	-1.809597E-4	-1.768470E-4
5/16/2014  15:29:59.438700	-9.733438E-4	-1.174867E-3	3.916681E-3	3.587663E-3	3.811121E-4	-7.128716E-5
5/16/2014  15:29:59.438800	-2.166033E-4	-1.205027E-3	3.621936E-3	3.966033E-3	5.908608E-4	8.499622E-5
5/16/2014  15:29:59.438900	-1.118660E-3	-6.100535E-4	3.157198E-3	4.421175E-3	6.758571E-4	2.824068E-4
5/16/2014  15:29:59.439000	2.741814E-6	-4.770756E-4	2.787054E-3	4.654229E-3	6.141663E-4	4.606247E-4
5/16/2014  15:29:59.439100	-1.405180E-3	4.455447E-4	2.529323E-3	4.670680E-3	2.865195E-4	6.018281E-4
5/16/2014  15:29:59.439200	3.317595E-4	3.509521E-4	2.341509E-3	4.397869E-3	5.209446E-5	6.991625E-4
5/16/2014  15:29:59.439300	-1.949430E-3	1.398325E-3	2.304494E-3	3.741205E-3	2.577305E-4	7.663369E-4
5/16/2014  15:29:59.439400	1.257122E-3	9.034276E-4	2.469003E-3	2.656817E-3	1.000762E-3	7.923841E-4
5/16/2014  15:29:59.439500	-2.571821E-3	1.860321E-3	2.574563E-3	1.564205E-3	2.122164E-3	8.074641E-4
