Test Article: Sun Power Cryotel (MT)
Test Article Interface: Bolted to circular frame on 3- springs, laboratory bench
Accelerometer: Ch.0-2: B+K  4524 | S/N: 30731
Accel. interface:  Supplied clip/instant glue
Accel. location: Interface flange
Axis convention: X: radial | Y: theta | Z: vertical
Test location: NSI-Herzberg Electronics Laboratory
Test conditions: Not Operating- active cancellation OFF
Test Engineer: HT, THwaveform	a0	a1	a2	a3
t0	4/9/2015  13:17:24.837732	4/9/2015  13:17:24.837732	4/9/2015  13:17:24.837732	4/9/2015  13:17:24.837732
delta t	0.005000	0.005000	0.005000	0.005000

time	a0	a1	a2	a3
4/9/2015  13:17:24.837732	5.871594E-4	5.833209E-4	1.358569E-4	6.108280E-5
4/9/2015  13:17:24.842732	5.815387E-4	5.803049E-4	1.047373E-4	3.030296E-5
4/9/2015  13:17:24.847732	5.667329E-4	5.815387E-4	1.453161E-4	7.083697E-5
4/9/2015  13:17:24.852732	5.574107E-4	5.761921E-4	1.558721E-4	8.267204E-5
4/9/2015  13:17:24.857732	5.612493E-4	5.787969E-4	1.518965E-4	7.903048E-5
4/9/2015  13:17:24.862732	5.616605E-4	5.829096E-4	1.225591E-4	4.963790E-5
4/9/2015  13:17:24.867732	5.685151E-4	5.890787E-4	1.194060E-4	4.799053E-5
4/9/2015  13:17:24.872732	5.807161E-4	5.933285E-4	1.365423E-4	6.654514E-5
4/9/2015  13:17:24.877732	5.824983E-4	5.918205E-4	6.456971E-5	-5.202226E-6
4/9/2015  13:17:24.882732	5.952477E-4	5.894899E-4	1.524448E-4	8.397259E-5
4/9/2015  13:17:24.887732	6.108761E-4	5.800307E-4	2.044022E-4	1.359081E-4
4/9/2015  13:17:24.892732	6.173193E-4	5.679667E-4	1.982331E-4	1.286684E-4
4/9/2015  13:17:24.897732	6.169081E-4	5.571365E-4	1.709521E-4	1.015301E-4
4/9/2015  13:17:24.902732	6.158113E-4	5.541205E-4	6.127954E-5	-8.236857E-6
4/9/2015  13:17:24.907732	6.118357E-4	5.513787E-4	1.355827E-4	6.550469E-5
4/9/2015  13:17:24.912732	6.045699E-4	5.545318E-4	4.236102E-5	-2.869894E-5
4/9/2015  13:17:24.917732	5.944252E-4	5.608380E-4	-5.209446E-6	-7.560568E-5
4/9/2015  13:17:24.922732	5.849659E-4	5.686522E-4	6.868243E-5	-1.170501E-6
4/9/2015  13:17:24.927732	5.816758E-4	5.752325E-4	8.225441E-6	-6.125621E-5
4/9/2015  13:17:24.932732	5.775630E-4	5.818129E-4	6.840825E-5	-8.670376E-7
4/9/2015  13:17:24.937732	5.719423E-4	5.905867E-4	6.498098E-5	-5.982559E-6
4/9/2015  13:17:24.942732	5.718052E-4	5.915463E-4	6.827116E-5	-3.858317E-6
4/9/2015  13:17:24.947732	5.634427E-4	5.878448E-4	1.128256E-4	3.958027E-5
4/9/2015  13:17:24.952732	5.650878E-4	5.849659E-4	1.032293E-4	2.913246E-5
4/9/2015  13:17:24.957732	5.611122E-4	5.830467E-4	7.128716E-5	-2.080890E-6
4/9/2015  13:17:24.962732	5.702972E-4	5.864739E-4	7.402897E-5	1.040445E-6
4/9/2015  13:17:24.967732	5.690634E-4	5.896270E-4	1.602590E-4	8.739739E-5
4/9/2015  13:17:24.972732	5.757809E-4	5.967557E-4	3.399849E-5	-3.754273E-5
4/9/2015  13:17:24.977732	5.819499E-4	5.978525E-4	8.389950E-5	1.339573E-5
4/9/2015  13:17:24.982732	5.849659E-4	6.047070E-4	1.072049E-4	3.758608E-5
4/9/2015  13:17:24.987732	5.915463E-4	6.040215E-4	5.072355E-6	-6.359721E-5
4/9/2015  13:17:24.992732	5.886674E-4	5.985379E-4	9.390712E-5	2.540420E-5
4/9/2015  13:17:24.997732	5.812645E-4	5.900383E-4	-3.153086E-6	-6.966647E-5
4/9/2015  13:17:25.002732	5.744100E-4	5.815387E-4	2.193451E-6	-6.329375E-5
4/9/2015  13:17:25.007732	5.675554E-4	5.719423E-4	4.112720E-6	-6.060593E-5
4/9/2015  13:17:25.012732	5.596042E-4	5.604267E-4	5.922318E-5	-3.641558E-6
4/9/2015  13:17:25.017732	5.478144E-4	5.542576E-4	1.285911E-4	6.702201E-5
4/9/2015  13:17:25.022732	5.357504E-4	5.471289E-4	1.336634E-4	7.343809E-5
4/9/2015  13:17:25.027732	5.325973E-4	5.480886E-4	1.531303E-4	9.407358E-5
