Test Article: Pier foundation
Mech. Interface: Al plate/ stud
Accelerometers: <e.g. BK 8340 S/N51828> | 
Acc. Location: <description>
Axis Convention: Z(Ch.0) vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Ambient and various
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo
Time zone: Hawaii
waveform	[0]
t0	5/15/2014  11:13:18.657250
delta t	0.001000

time	Y[0]
5/15/2014  11:13:18.657250	7.469963E-4
5/15/2014  11:13:18.658250	-2.259327E-3
5/15/2014  11:13:18.659250	-2.660505E-4
5/15/2014  11:13:18.660250	2.376030E-3
5/15/2014  11:13:18.661250	4.539809E-4
5/15/2014  11:13:18.662250	-8.889303E-4
5/15/2014  11:13:18.663250	-4.522035E-4
5/15/2014  11:13:18.664250	1.434384E-3
5/15/2014  11:13:18.665250	-7.639468E-4
5/15/2014  11:13:18.666250	-1.991845E-3
5/15/2014  11:13:18.667250	2.438933E-3
5/15/2014  11:13:18.668250	5.301501E-4
5/15/2014  11:13:18.669250	-2.392937E-3
5/15/2014  11:13:18.670250	-2.521042E-3
5/15/2014  11:13:18.671250	1.098493E-3
5/15/2014  11:13:18.672250	2.253561E-3
5/15/2014  11:13:18.673250	-1.805562E-3
5/15/2014  11:13:18.674250	-3.150815E-4
5/15/2014  11:13:18.675250	1.756878E-3
5/15/2014  11:13:18.676250	1.913552E-4
5/15/2014  11:13:18.677250	-3.449899E-3
5/15/2014  11:13:18.678250	5.618404E-5
5/15/2014  11:13:18.679250	4.168240E-3
5/15/2014  11:13:18.680250	-1.413965E-3
5/15/2014  11:13:18.681250	-2.437286E-3
5/15/2014  11:13:18.682250	1.729437E-3
5/15/2014  11:13:18.683250	2.557327E-3
5/15/2014  11:13:18.684250	-3.190048E-3
5/15/2014  11:13:18.685250	-3.098229E-3
5/15/2014  11:13:18.686250	3.493251E-3
5/15/2014  11:13:18.687250	1.376726E-3
5/15/2014  11:13:18.688250	-3.001641E-3
5/15/2014  11:13:18.689250	-1.182379E-3
5/15/2014  11:13:18.690250	3.739273E-3
5/15/2014  11:13:18.691250	1.067583E-3
5/15/2014  11:13:18.692250	-4.209901E-3
5/15/2014  11:13:18.693250	2.237391E-4
5/15/2014  11:13:18.694250	3.227981E-3
5/15/2014  11:13:18.695250	2.534784E-4
5/15/2014  11:13:18.696250	-3.237128E-3
5/15/2014  11:13:18.697250	1.751416E-3
5/15/2014  11:13:18.698250	3.318066E-3
5/15/2014  11:13:18.699250	-3.034198E-3
5/15/2014  11:13:18.700250	-2.780720E-3
5/15/2014  11:13:18.701250	2.972508E-3
5/15/2014  11:13:18.702250	1.690593E-3
5/15/2014  11:13:18.703250	-3.209556E-3
5/15/2014  11:13:18.704250	-1.332030E-3
5/15/2014  11:13:18.705250	2.352750E-3
5/15/2014  11:13:18.706250	5.961317E-4
5/15/2014  11:13:18.707250	-2.364195E-3
5/15/2014  11:13:18.708250	-4.861046E-4
5/15/2014  11:13:18.709250	2.797930E-3
5/15/2014  11:13:18.710250	4.577959E-4
5/15/2014  11:13:18.711250	-2.664927E-3
5/15/2014  11:13:18.712250	-1.717168E-4
5/15/2014  11:13:18.713250	3.014863E-3
5/15/2014  11:13:18.714250	3.932449E-4
5/15/2014  11:13:18.715250	-3.195597E-3
5/15/2014  11:13:18.716250	1.066066E-3
5/15/2014  11:13:18.717250	1.609048E-3
5/15/2014  11:13:18.718250	-1.236742E-3
5/15/2014  11:13:18.719250	-2.720807E-3
5/15/2014  11:13:18.720250	2.317375E-3
5/15/2014  11:13:18.721250	2.394238E-3
5/15/2014  11:13:18.722250	-4.027390E-3
5/15/2014  11:13:18.723250	-8.505639E-4
5/15/2014  11:13:18.724250	3.216883E-3
5/15/2014  11:13:18.725250	1.301077E-3
5/15/2014  11:13:18.726250	-2.641690E-3
5/15/2014  11:13:18.727250	-4.584028E-4
5/15/2014  11:13:18.728250	3.399221E-3
