Test Article: Telescope foundation
Mech. Interface: placed
Hammer: B&K 8207/51475 | Tip: orange | Mass: NO
Impact Direction:  Z
Accelerometers:  Ch8: PCB 393B31 SN35215 | Ch1: BK 8340 S/N 51828 | PCB 393B31 SN 32003 | PCB 393B31 SN 32001 | PCB 393B31 SN 32900 | Ch 5-7 PCB 111755 X,Y,Z
Acc. Location: Ch8/Ch1 co-located on floor near test article | Ch2,3,4 col-located enclosure foundation
Axis Convention:(Ch.8) X (horizontal) | (Ch.1) Z (vertical) | (Ch.2) horizontal | Ch 3. hourizontal | Ch 4 vertical | ch. 7 vertical
Mechanical units (m.u.): m/s^2
Test Conditions: Pier floor forced excitation
Test Location: Subaru telescope, Mauna Kea, Hawaii
Test Engineer(s): PWGB, HT, DMM, PS, Daigo, Hiroshi
Time zone: Hawaii
waveform	[0]	[1]	[2]	[3]	[4]	[5]
t0	5/16/2014  15:27:19.609475	5/16/2014  15:27:19.609475	5/16/2014  15:27:19.609475	5/16/2014  15:27:19.609475	5/16/2014  15:27:19.609475	5/16/2014  15:27:19.609475
delta t	1.000000E-4	1.000000E-4	1.000000E-4	1.000000E-4	1.000000E-4	1.000000E-4

time	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	Y[5]
5/16/2014  15:27:19.609475	-7.169843E-4	-3.468394E-4	3.617823E-3	5.482256E-3	6.465197E-3	-6.443262E-5
5/16/2014  15:27:19.609575	-6.964207E-4	-8.993149E-4	2.260625E-3	5.432904E-3	4.263520E-3	1.741052E-4
5/16/2014  15:27:19.609675	-7.402897E-4	-1.510739E-3	4.565120E-4	4.458189E-3	2.072811E-3	4.304647E-4
5/16/2014  15:27:19.609775	-6.936789E-4	-1.875401E-3	-1.365423E-3	2.752781E-3	3.303885E-4	7.430315E-4
5/16/2014  15:27:19.609875	-7.718205E-4	-2.506018E-3	-2.832294E-3	8.883476E-4	-7.526278E-4	1.062453E-3
5/16/2014  15:27:19.609975	-7.101297E-4	-2.765119E-3	-3.861845E-3	-4.907846E-4	-1.510739E-3	1.357198E-3
5/16/2014  15:27:19.610075	-8.102059E-4	-3.017366E-3	-4.088044E-3	-1.137853E-3	-2.193451E-3	1.576543E-3
5/16/2014  15:27:19.610175	-6.785989E-4	-3.105104E-3	-3.425896E-3	-7.649660E-4	-2.788424E-3	1.698554E-3
5/16/2014  15:27:19.610275	-8.403659E-4	-3.236711E-3	-2.201676E-3	6.429553E-4	-3.276467E-3	1.701295E-3
5/16/2014  15:27:19.610375	-6.703734E-4	-2.976239E-3	-8.773804E-4	2.563596E-3	-3.785074E-3	1.551867E-3
5/16/2014  15:27:19.610475	-9.226203E-4	-2.862453E-3	4.044175E-4	4.249811E-3	-4.289567E-3	1.251638E-3
5/16/2014  15:27:19.610575	-6.182790E-4	-2.355218E-3	1.369536E-3	5.421937E-3	-4.530847E-3	8.869767E-4
5/16/2014  15:27:19.610675	-1.002133E-3	-1.935720E-3	1.753390E-3	5.579591E-3	-4.292309E-3	4.976392E-4
