Test Article: Sun Power Cryotel (MT)
Test Article Interface: Bolted to circular frame on 3- springs, laboratory bench
Accelerometer: Ch.0-2: B+K  4524 | S/N: 30731
Accel. interface:  Supplied clip/instant glue
Accel. location: Interface flange
Axis convention: X: radial | Y: theta | Z: vertical
Test location: NSI-Herzberg Electronics Laboratory
Test conditions: Not Operating- active cancellation OFF
Test Engineer: HT, THwaveform	a0	a1	a2	a3
t0	4/9/2015  13:16:15.508282	4/9/2015  13:16:15.508282	4/9/2015  13:16:15.508282	4/9/2015  13:16:15.508282
delta t	0.005000	0.005000	0.005000	0.005000

time	a0	a1	a2	a3
4/9/2015  13:16:15.508282	-1.288844E-2	2.064915E-2	6.237626E-5	5.683432E-5
4/9/2015  13:16:15.513282	-1.286939E-2	2.057663E-2	4.304647E-5	3.845312E-5
4/9/2015  13:16:15.518282	-1.286089E-2	2.050506E-2	1.433969E-4	1.385093E-4
4/9/2015  13:16:15.523282	-1.285540E-2	2.044255E-2	1.756132E-4	1.695926E-4
4/9/2015  13:16:15.528282	-1.284732E-2	2.037264E-2	1.228333E-4	1.169200E-4
4/9/2015  13:16:15.533282	-1.284224E-2	2.030450E-2	4.894137E-5	4.270160E-5
4/9/2015  13:16:15.538282	-1.284334E-2	2.023678E-2	6.333590E-5	5.731119E-5
4/9/2015  13:16:15.543282	-1.284416E-2	2.016508E-2	6.278753E-5	5.588057E-5
4/9/2015  13:16:15.548282	-1.284361E-2	2.009366E-2	8.677840E-5	7.864031E-5
4/9/2015  13:16:15.553282	-1.284074E-2	2.002771E-2	1.191318E-4	1.108508E-4
4/9/2015  13:16:15.558282	-1.284074E-2	1.995492E-2	1.358569E-4	1.268476E-4
4/9/2015  13:16:15.563282	-1.283210E-2	1.988871E-2	1.100838E-4	9.888564E-5
4/9/2015  13:16:15.568282	-1.282648E-2	1.982153E-2	9.925365E-5	8.670376E-5
4/9/2015  13:16:15.573282	-1.282401E-2	1.975628E-2	4.510283E-5	3.277402E-5
4/9/2015  13:16:15.578282	-1.280907E-2	1.969527E-2	1.668394E-4	1.529454E-4
4/9/2015  13:16:15.583282	-1.279426E-2	1.963660E-2	1.450419E-4	1.288851E-4
4/9/2015  13:16:15.588282	-1.278110E-2	1.958409E-2	1.150191E-4	9.801860E-5
4/9/2015  13:16:15.593282	-1.277438E-2	1.952021E-2	7.444024E-5	5.670426E-5
4/9/2015  13:16:15.598282	-1.275930E-2	1.945056E-2	-4.277229E-5	-5.991230E-5
4/9/2015  13:16:15.603282	-1.273572E-2	1.938353E-2	-4.894137E-5	-6.654514E-5
4/9/2015  13:16:15.608282	-1.271914E-2	1.930662E-2	3.879666E-5	2.102566E-5
4/9/2015  13:16:15.613282	-1.269940E-2	1.922683E-2	7.567406E-5	5.666091E-5
